bin,range_m,mf_magnitude,cfar_threshold,detected
0,0.0000,10.217580,29.532046,0
1,14.9896,4.763852,30.248418,0
2,29.9792,9.575112,30.447270,0
3,44.9689,3.746568,29.425039,0
4,59.9585,5.061612,29.725580,0
5,74.9481,4.572168,29.446414,0
6,89.9377,5.603539,28.135555,0
7,104.9274,12.434716,28.060086,0
8,119.9170,7.288951,27.091706,0
9,134.9066,12.557031,25.743092,0
10,149.8962,12.919530,25.207796,0
11,164.8859,8.094673,24.545094,0
12,179.8755,12.195091,24.351738,0
13,194.8651,15.815392,24.074695,0
14,209.8547,9.901902,23.947589,0
15,224.8443,8.762170,23.922774,0
16,239.8340,10.147247,23.706522,0
17,254.8236,9.225099,25.182358,0
18,269.8132,10.665543,28.025398,0
19,284.8028,6.367285,28.567762,0
20,299.7925,4.945110,28.761851,0
21,314.7821,7.859189,30.531952,0
22,329.7717,2.739082,31.974393,0
23,344.7613,7.452637,32.530069,0
24,359.7509,9.568645,32.897656,0
25,374.7406,7.670087,32.878652,0
26,389.7302,3.582774,33.181046,0
27,404.7198,6.316371,33.268081,0
28,419.7094,0.528726,33.174715,0
29,434.6991,4.585372,33.877801,0
30,449.6887,2.194013,33.661282,0
31,464.6783,4.119048,33.175112,0
32,479.6679,2.210811,33.020648,0
33,494.6576,1.436212,30.998402,0
34,509.6472,2.593500,28.143613,0
35,524.6368,1.463390,27.840009,0
36,539.6264,8.598702,26.852230,0
37,554.6160,15.543609,23.867031,0
38,569.6057,17.476676,21.955794,0
39,584.5953,7.930496,21.120255,0
40,599.5849,11.988421,20.719045,0
41,614.5745,19.363705,21.481436,0
42,629.5642,14.858017,23.732625,0
43,644.5538,11.193558,25.908871,0
44,659.5434,6.773808,25.785377,0
45,674.5330,4.294576,26.305134,0
46,689.5227,4.883230,29.097583,0
47,704.5123,7.629157,30.437609,0
48,719.5019,9.239482,30.724070,0
49,734.4915,10.246165,31.144813,0
50,749.4811,7.856795,31.037861,0
51,764.4708,7.667666,30.688024,0
52,779.4604,8.301059,30.892630,0
53,794.4500,1.369888,31.646025,0
54,809.4396,5.320430,31.991200,0
55,824.4293,10.254996,32.727813,0
56,839.4189,6.446018,33.629201,0
57,854.4085,4.366572,33.382013,0
58,869.3981,6.419796,32.185793,0
59,884.3878,11.153878,30.367739,0
60,899.3774,5.827067,30.445397,0
